pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,carga,fecha
1.0,6.9,0.7,0.7,0.0,0.0001529884,0.0000000000,13168810.3,2.0,4000.0,2021-06-01 20:11:50.295004
1.0,6.9,0.7,0.7,0.0,0.0001529884,0.0000000000,13168810.3,2.0,4000.0,2021-06-01 20:11:51.352503
1.0,6.9,0.7,0.7,0.0,0.0001529884,0.0000000000,13168810.3,2.0,4000.0,2021-06-01 20:11:52.400502
1.0,6.9,0.7,0.7,0.0,0.0001529884,0.0000000000,13168810.3,2.0,4000.0,2021-06-01 20:11:52.459502
1.0,14.8,0.7,0.7,0.0,0.0130200398,0.1699033053,10267231.2,2.0,4000.0,2021-06-01 20:11:53.522003
1.0,11.6,0.7,0.7,0.0,0.0153065256,0.2002822244,7845074.2,2.0,4000.0,2021-06-01 20:11:54.565505
1.0,11.8,0.7,0.7,0.0,0.0153070540,0.2002822244,7845074.2,2.0,4000.0,2021-06-01 20:11:55.615002
1.0,11.8,0.7,0.7,0.0,0.0153075864,0.2002822244,7845074.2,2.0,4000.0,2021-06-01 20:11:56.675002
1.0,11.8,0.6,0.6,0.0,0.0153123386,0.2002822244,7845074.2,2.0,4000.0,2021-06-01 20:11:57.748003
1.0,11.8,0.6,0.6,42.3,0.0580016316,0.5860521538,7118055.4,2.0,4000.0,2021-06-01 20:11:58.818005
1.0,11.8,0.6,0.6,42.3,0.0580016316,0.5860521538,7118055.4,2.0,4000.0,2021-06-01 20:11:59.877502
1.0,11.8,0.4,0.4,42.3,0.0579968764,0.5860521538,7118055.4,2.0,4000.0,2021-06-01 20:12:00.929003
1.0,11.8,0.4,0.4,42.3,0.0579963460,0.5860521538,7118055.4,2.0,4000.0,2021-06-01 20:12:01.980002
1.0,11.8,0.4,0.4,42.3,0.0579958125,0.5860521538,7118055.4,2.0,4000.0,2021-06-01 20:12:03.042502
1.0,11.8,0.4,0.4,42.3,0.0579957501,0.5860521538,7118055.4,2.0,4000.0,2021-06-01 20:12:03.162502
1.0,18.9,6140.4,4985.4,84.3,0.1923925006,2.7137278369,4550595.6,2.0,4000.0,2021-06-01 20:12:04.229504
1.0,18.9,6140.4,4985.4,84.3,0.2034700193,2.8137347528,4623288.9,2.0,4000.0,2021-06-01 20:12:05.269002
1.0,18.9,6140.4,4985.4,84.3,0.2034700193,2.8137347528,4623288.9,2.0,4000.0,2021-06-01 20:12:06.328002
1.0,17.1,6140.4,4985.4,103.8,0.2012201830,2.7841202442,4049174.7,2.0,4000.0,2021-06-01 20:12:07.385002
1.0,17.1,6140.4,4985.4,103.8,0.2011968340,2.7838231589,4043483.2,2.0,4000.0,2021-06-01 20:12:07.471002
1.0,16.7,6140.4,4985.4,103.8,0.3389725308,5.1132959032,3579922.8,2.0,4000.0,2021-06-01 20:12:08.541002
1.0,16.7,6140.4,4985.4,103.8,0.3389725308,5.1132959032,1086848.2,2.0,4000.0,2021-06-01 20:12:09.605502
1.0,15.0,6140.4,4985.4,103.8,0.3657783172,5.5585772605,1088023.9,2.0,4000.0,2021-06-01 20:12:09.767003
1.0,15.2,6140.4,4985.4,97.2,0.3696678215,5.6231556402,1095593.9,2.0,4000.0,2021-06-01 20:12:10.829003
1.0,15.4,7032.9,5716.3,117.7,0.3736089401,5.6885290190,1103264.3,2.0,4000.0,2021-06-01 20:12:11.896002
1.0,15.6,7032.9,5716.3,107.9,0.3660419760,5.6500180178,1035143.9,2.0,4000.0,2021-06-01 20:12:12.966004
1.0,20.8,7032.9,5716.3,92.8,0.5906358745,8.2794553002,1131034.1,2.0,4000.0,2021-06-01 20:12:14.023503
1.0,21.0,6004.0,4879.9,91.9,0.5942339191,8.3390276234,1139977.0,2.0,4000.0,2021-06-01 20:12:15.077003
1.0,21.2,5880.4,4779.4,90.9,0.5978319638,8.3986565204,1148928.5,2.0,4000.0,2021-06-01 20:12:16.130503
1.0,21.4,6992.4,5673.5,89.9,0.6014368359,8.4583985653,1157905.4,2.0,4000.0,2021-06-01 20:12:17.188502
1.0,19.8,6842.5,5551.5,88.9,0.6019215819,8.4659228949,1158950.0,2.0,4000.0,2021-06-01 20:12:18.244502
1.0,19.8,9452.2,8030.5,90.2,0.5983132962,8.4061242761,1149964.6,2.0,4000.0,2021-06-01 20:12:19.303002
1.0,19.7,9382.1,7973.1,90.2,0.5944250866,8.3416300230,1140291.3,2.0,4000.0,2021-06-01 20:12:20.441503
1.0,19.5,9308.0,7912.4,90.2,0.5908031460,8.2816051086,1131271.9,2.0,4000.0,2021-06-01 20:12:21.508002
1.0,19.2,10350.3,8765.7,103.4,0.6519480123,8.8205696738,1214992.4,2.0,4000.0,2021-06-01 20:12:22.588004
1.0,26.3,12529.8,10832.7,131.4,0.7074955930,9.6474044248,4269411.5,2.0,4000.0,2021-06-01 20:12:23.631006
1.0,26.3,12529.8,10832.7,132.8,0.7636423380,10.1665111020,4349700.0,2.0,4000.0,2021-06-01 20:12:24.687003
1.0,26.3,12529.8,10832.7,134.2,0.7636423380,10.1665111020,4349700.0,2.0,4000.0,2021-06-01 20:12:25.742502
1.0,26.3,12529.8,10832.7,133.9,0.7636423380,10.1665111020,4349700.0,2.0,4000.0,2021-06-01 20:12:26.798003
1.0,26.3,12529.8,10832.7,132.5,0.7636423380,10.1665111020,4349700.0,2.0,4000.0,2021-06-01 20:12:27.854503
1.0,30.3,12529.8,10832.7,119.1,0.7487718336,10.5402641559,9274692.3,2.0,4000.0,2021-06-01 20:12:28.915002
1.0,30.7,12529.8,10832.7,119.1,0.7487718336,10.5402641559,9274692.3,2.0,4000.0,2021-06-01 20:12:29.982503
1.0,31.1,14646.2,12662.5,119.1,0.7487718336,10.5402641559,9274692.3,2.0,4000.0,2021-06-01 20:12:31.027505
1.0,31.6,14646.2,12662.5,119.1,0.7487718336,10.5402641559,9274692.3,2.0,4000.0,2021-06-01 20:12:32.079503
1.0,28.8,17087.1,14772.7,107.0,0.7112100122,9.9214461985,8636392.7,2.0,4000.0,2021-06-01 20:12:33.133504
1.0,31.1,14639.0,12634.1,97.1,0.7676770644,10.8507663003,8639913.3,2.0,4000.0,2021-06-01 20:12:34.191002
1.0,30.7,14639.0,12634.1,97.1,0.7627366949,10.7694160744,8556043.9,2.0,4000.0,2021-06-01 20:12:35.245003
1.0,30.3,14639.0,12634.1,97.1,0.7577634835,10.6876023145,8471776.2,2.0,4000.0,2021-06-01 20:12:36.303503
1.0,29.9,13101.5,11304.0,97.1,0.7527996555,10.6057112989,8387269.6,2.0,4000.0,2021-06-01 20:12:37.376004
1.0,33.0,11849.0,10220.0,97.1,0.7263478660,10.1202536732,10797624.1,2.0,4000.0,2021-06-01 20:12:38.436003
1.0,33.0,11849.0,10220.0,97.1,0.7263478660,10.1202536732,10797624.1,2.0,4000.0,2021-06-01 20:12:39.488002
1.0,33.0,11849.0,10220.0,97.1,0.6906260791,9.7908489166,10191242.8,2.0,4000.0,2021-06-01 20:12:40.546003
1.0,30.8,11849.0,10220.0,55.2,0.7181296686,10.3105689938,11258354.4,2.0,4000.0,2021-06-01 20:12:41.597502
1.0,28.7,10940.1,9678.3,11.6,0.6879064400,9.6426066300,12221096.1,2.0,4000.0,2021-06-01 20:12:42.654502
